reconciliation_owner_status,remittance_advice_remark_code,remittance_advice_remark_code_description,claim_adjustment_reason_code,claim_adjustment_reason_code_description,no_approved_resubmissions,list_approved_resubmissions,no_rejected_resubmissions,list_rejected_resubmissions,no_denied_resubmissions,list_denied_resubmissions,no_partially_denied_resubmissions,list_partially_denied_resubmissions,unworked_claims_count,unworked_claims_list
ATHELAS_RESPONSIBILITY,N0_RARC,N/A,04,No description provided.,0,"",0,"",0,"",0,"",1,{142983}
SITE_RESPONSIBILITY,NO_RARC,Placeholder RARC,08,No description provided.,0,"",0,"",0,"",0,"",1,{208682}
SITE_RESPONSIBILITY,,,10,"The diagnosis is inconsistent with the patient's gender. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",0,"",0,"",0,"",0,"",1,{502824}
ATHELAS_RESPONSIBILITY,M15,Separately billed services/tests have been bundled as they are considered components of the same procedure. Separate payment is not allowed.,1,Deductible Amount,1,{570911},0,{null},0,{null},0,{null},0,""
NON_WORKABLE,M15,Separately billed services/tests have been bundled as they are considered components of the same procedure. Separate payment is not allowed.,1,Deductible Amount,0,{null},0,{null},1,{138915},0,{null},0,""
SITE_RESPONSIBILITY,M15,Separately billed services/tests have been bundled as they are considered components of the same procedure. Separate payment is not allowed.,1,Deductible Amount,4,"{138886,138975,138982,139079}",0,{null},0,{null},0,{null},0,""
ATHELAS_RESPONSIBILITY,M16,"Alert: Please see our web site, mailings, or bulletins for more details concerning this policy/procedure/decision.",1,Deductible Amount,2,"{105694,567626,null}",0,{null},2,"{54140,80780,null}",2,"{287163,287270,null}",0,""
NON_WORKABLE,M16,"Alert: Please see our web site, mailings, or bulletins for more details concerning this policy/procedure/decision.",1,Deductible Amount,0,{null},3,"{17009,42963,47204,null}",4,"{12834,17019,17042,50047}",0,{null},0,""
NON_WORKABLE,MA13,Alert: You may be subject to penalties if you bill the patient for amounts not reported with the PR (patient responsibility) group code.,1,Deductible Amount,0,{null},0,{null},1,{228727},0,{null},0,""
ATHELAS_RESPONSIBILITY,N123,Alert: This is a split service and represents a portion of the units from the originally submitted service.,1,Deductible Amount,9,"{72881,72883,72892,72893,72894,72897,72911,72914,72915}",0,{null},0,{null},0,{null},0,""
NON_WORKABLE,N123,Alert: This is a split service and represents a portion of the units from the originally submitted service.,1,Deductible Amount,3,"{72909,83361,90400}",0,{null},1,"{143016,null}",0,{null},0,""
ATHELAS_RESPONSIBILITY,N130,Consult plan benefit documents/guidelines for information about restrictions for this service.,1,Deductible Amount,4,"{242180,401345,401356,401376,null}",2,"{179104,344388,null}",1,"{214773,null}",1,"{546706,null}",0,""
NON_WORKABLE,N130,Consult plan benefit documents/guidelines for information about restrictions for this service.,1,Deductible Amount,0,{null},0,{null},0,{null},3,"{84572,107060,108305}",0,""
ATHELAS_RESPONSIBILITY,N220,Alert: See the payer's web site or contact the payer's Customer Service department to obtain forms and instructions for filing a provider dispute.,1,Deductible Amount,3,"{131862,132199,153067,null}",3,"{311202,478905,549435,null}",1,"{142865,null}",0,{null},0,""
NON_WORKABLE,N220,Alert: See the payer's web site or contact the payer's Customer Service department to obtain forms and instructions for filing a provider dispute.,1,Deductible Amount,0,{null},1,{536873},1,{142837},0,{null},0,""
ATHELAS_RESPONSIBILITY,N381,Alert: Consult our contractual agreement for restrictions/billing/payment information related to these charges.,1,Deductible Amount,3,"{139058,141872,585481,null}",0,{null},3,"{118389,132104,147665,null}",2,"{139621,177983,null}",0,""
NON_WORKABLE,N381,Alert: Consult our contractual agreement for restrictions/billing/payment information related to these charges.,1,Deductible Amount,1,"{478817,null}",0,{null},1,"{17153,null}",0,{null},0,""
ATHELAS_RESPONSIBILITY,N435,Exceeds number/frequency approved /allowed within time period without support documentation.,1,Deductible Amount,1,{240253},0,{null},0,{null},0,{null},0,""
ATHELAS_RESPONSIBILITY,N442,Payment based on an alternate fee schedule.,1,Deductible Amount,0,{null},0,{null},0,{null},1,{531347},0,""
ATHELAS_RESPONSIBILITY,N45,Payment based on authorized amount.,1,Deductible Amount,1,"{180955,null}",0,{null},3,"{130400,268003,494181}",0,{null},0,""
NON_WORKABLE,N45,Payment based on authorized amount.,1,Deductible Amount,0,{null},0,{null},1,{180954},1,{131403},0,""
NON_WORKABLE,N520,Alert: Payment made from a Consumer Spending Account.,1,Deductible Amount,1,{72909},0,{null},0,{null},0,{null},0,""
SITE_RESPONSIBILITY,N536,"We are not changing the prior payer's determination of patient responsibility, which you may collect, as this service is not covered by us.",1,Deductible Amount,0,{null},0,{null},1,{131644},0,{null},0,""
ATHELAS_RESPONSIBILITY,N59,Alert: Please refer to your provider manual for additional program and provider information.,1,Deductible Amount,0,{null},0,{null},1,{93763},0,{null},0,""
NON_WORKABLE,N59,Alert: Please refer to your provider manual for additional program and provider information.,1,Deductible Amount,1,{304911},0,{null},0,{null},0,{null},0,""
ATHELAS_RESPONSIBILITY,N694,Alert: This reversal is due to a resubmission/change to the claim by the provider.,1,Deductible Amount,27,"{72881,72883,72884,72892,72893,72894,72897,72911,72914,72915,105372,105383,105463,105529,105612,149499,178005,178008,178012,178057,259876,260176,260177,313867,565033,565034,565035,null}",4,"{168890,231391,484310,552296,null}",4,"{105397,105595,152044,547907,null}",2,"{156161,552295,null}",0,""
NON_WORKABLE,N694,Alert: This reversal is due to a resubmission/change to the claim by the provider.,1,Deductible Amount,1,{72909},0,{null},0,{null},0,{null},0,""
SITE_RESPONSIBILITY,N694,Alert: This reversal is due to a resubmission/change to the claim by the provider.,1,Deductible Amount,0,{null},0,{null},0,{null},1,{129380},0,""
ATHELAS_RESPONSIBILITY,N781,Alert: Patient is a Medicaid/ Qualified Medicare Beneficiary. Review your records for any wrongfully collected deductible. This amount may be billed to a subsequent payer.,1,Deductible Amount,0,{null},7,"{91931,93241,95445,95635,180953,181913,316830,null}",14,"{96998,97834,133105,133160,137755,137760,137811,141671,151875,158161,250603,309330,483912,544501,null}",8,"{102275,124478,129279,130797,130803,130804,182179,248445,null}",0,""
NON_WORKABLE,N781,Alert: Patient is a Medicaid/ Qualified Medicare Beneficiary. Review your records for any wrongfully collected deductible. This amount may be billed to a subsequent payer.,1,Deductible Amount,1,"{304911,null}",2,"{180952,181914,null}",21,"{92889,95174,95175,95176,95424,95437,95632,95633,97839,133141,138783,145736,145764,149491,149562,229579,231378,231953,483630,483724,494130,null}",1,"{102264,null}",0,""
